# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -6.459119979985195318e-07 -3.285141504935703741e-07
-1.068703942592433123e+02 -8.436865806638579312e-07 -3.865084775285185612e-07
-1.060063942592437343e+02 -1.050326637074086252e-06 -4.189488428017231540e-07
-1.051423942592441563e+02 -1.259768128151003736e-06 -4.134939385115983943e-07
-1.042783942592445783e+02 -1.460216297023516331e-06 -3.537939451989093927e-07
-1.034143942592450003e+02 -1.627648774528650408e-06 -2.199185988858840420e-07
-1.025503942592454223e+02 -1.715869033832634616e-06 4.669010251536326963e-09
-1.016863942592458443e+02 -1.645610058528685171e-06 3.072395981688153219e-07
-1.008223942592462663e+02 -1.322911507149910637e-06 5.870627547561799303e-07
-9.995839425924668831e+01 -7.420602556311192602e-07 6.149323965264660467e-07
-9.909439425924711031e+01 -1.055356698550540745e-07 1.583602823253195342e-07
-9.823039425924753232e+01 2.514370576160329262e-07 -8.166092225543132250e-07
-9.736639425924795432e+01 4.303084505762941871e-08 -2.130227462319507858e-06
-9.650239425924837633e+01 -8.441913716841361645e-07 -3.494975196367081861e-06
-9.563839425924879833e+01 -2.337996458722314506e-06 -4.645370033594812429e-06
-9.477439425924922034e+01 -4.293233416727771470e-06 -5.395517103204801710e-06
-9.391039425924964235e+01 -6.549406231375391212e-06 -5.624992674477287645e-06
-9.304639425925006435e+01 -8.911657139405128452e-06 -5.321671377115611579e-06
-9.218239425925048636e+01 -1.120200521022521305e-05 -4.605625097688916762e-06
-9.131839425925090836e+01 -1.333144870716650353e-05 -3.619661177899766184e-06
-9.045439425925133037e+01 -1.527236166100563979e-05 -2.436660872737514813e-06
-8.959039425925175237e+01 -1.700062925455766356e-05 -1.089293544050042468e-06
-8.872639425925217438e+01 -1.848938926652878253e-05 3.511894433147274806e-07
-8.786239425925259638e+01 -1.974488125658842047e-05 1.751732116204092935e-06
-8.699839425925301839e+01 -2.081720367206409510e-05 2.987101929261908374e-06
-8.613439425925344040e+01 -2.176410729480123823e-05 3.994391941969035889e-06
-8.527039425925386240e+01 -2.261986742407063285e-05 4.756081099212807947e-06
-8.440639425925428441e+01 -2.339139318244119175e-05 5.268796381302654783e-06
-8.354239425925470641e+01 -2.406997380073543866e-05 5.531817845265757815e-06
