# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 6.450815470639789960e-07 -3.269655680165478861e-07
-1.068703942592433123e+02 8.431122593000200485e-07 -3.848744511764669042e-07
-1.060063942592437343e+02 1.049944052914068430e-06 -4.172100292528144674e-07
-1.051423942592441563e+02 1.259541040767207267e-06 -4.116554397475273748e-07
-1.042783942592445783e+02 1.460075823384138836e-06 -3.518642281764976978e-07
-1.034143942592450003e+02 1.627520590034943948e-06 -2.179312763393243796e-07
-1.025503942592454223e+02 1.715664312390059172e-06 6.644034423960609121e-09
-1.016863942592458443e+02 1.645264991576235352e-06 3.090734454895960587e-07
-1.008223942592462663e+02 1.322455878458737878e-06 5.885704015562053041e-07
-9.995839425924668831e+01 7.417200395457037122e-07 6.159646373949878254e-07
-9.909439425924711031e+01 1.057034682222688906e-07 1.589666705941632424e-07
-9.823039425924753232e+01 -2.503627770885466951e-07 -8.161095633939323357e-07
-9.736639425924795432e+01 -4.076162824732700168e-08 -2.129302197050494934e-06
-9.650239425924837633e+01 8.477637576565464463e-07 -3.492962701308785824e-06
-9.563839425924879833e+01 2.342716873509010621e-06 -4.641614016936070271e-06
-9.477439425924922034e+01 4.298668776848294442e-06 -5.389496442745661986e-06
-9.391039425924964235e+01 6.554882114294709697e-06 -5.616474586769468723e-06
-9.304639425925006435e+01 8.916458637889374301e-06 -5.310876886776279922e-06
-9.218239425925048636e+01 1.120572145690485654e-05 -4.593082497276588918e-06
-9.131839425925090836e+01 1.333403937368979244e-05 -3.605834645155294654e-06
-9.045439425925133037e+01 1.527396274058816586e-05 -2.421741919971919225e-06
-8.959039425925175237e+01 1.700135746511927129e-05 -1.073108854890888797e-06
-8.872639425925217438e+01 1.848919921768367244e-05 3.691017737881503558e-07
-8.786239425925259638e+01 1.974358739551232054e-05 1.771719665949862735e-06
-8.699839425925301839e+01 2.081468141722874187e-05 3.009133792453851573e-06
-8.613439425925344040e+01 2.176039583569566423e-05 4.018224564302442091e-06
-8.527039425925386240e+01 2.261511900068280851e-05 4.781466499253924813e-06
-8.440639425925428441e+01 2.338579945801699925e-05 5.295533183785376722e-06
-8.354239425925470641e+01 2.406372124454468547e-05 5.559733598855733257e-06
-8.267839425925512842e+01 2.464286639196553089e-05 5.575239107595460863e-06
-8.181439425925555042e+01 2.513183585434948021e-05 5.339751301501629377e-06
-8.095039425925597243e+01 2.554812068217044048e-05 4.840104847155472841e-06
-8.008639425925639443e+01 2.590261710126342393e-05 4.055904635594129635e-06
-7.922239425925681644e+01 2.618863026677453854e-05 2.978393292324538934e-06
-7.835839425925723845e+01 2.638271512274812348e-05 1.636036298456281874e-06
-7.749439425925766045e+01 2.645980464570363210e-05 1.002437231743566850e-07
-7.663039425925808246e+01 2.641119808253789567e-05 -1.550883227247265098e-06
-7.576639425925850446e+01 2.624609031954597995e-05 -3.277843692641519329e-06
-7.490239425925892647e+01 2.597949872897556731e-05 -5.082270000834767957e-06
-7.403839425925934847e+01 2.562622698454142093e-05 -6.969503977014394755e-06
-7.317439425925977048e+01 2.520857098410493057e-05 -8.909565215070460356e-06
-7.231039425926019248e+01 2.476758685176802562e-05 -1.082958362046910370e-05
-7.144639425926061449e+01 2.436004413124376149e-05 -1.264580875044228915e-05
-7.058239425926103650e+01 2.403846375169707743e-05 -1.430401470889404430e-05
-6.971839425926145850e+01 2.383358536517688687e-05 -1.579222493763482696e-05
-6.885439425926188051e+01 2.375262657762722829e-05 -1.712727356929251822e-05
-6.799039425926230251e+01 2.378760731394240934e-05 -1.833685129339618692e-05
-6.712639425926272452e+01 2.392408489889306098e-05 -1.944847007010925229e-05
-6.626239425926314652e+01 2.414654723916591418e-05 -2.048520571341452167e-05
-6.539839425926356853e+01 2.444087114140287628e-05 -2.146504958222462633e-05
-6.453439425926399053e+01 2.479510819698988640e-05 -2.240161248765677838e-05
-6.367039425926441254e+01 2.519948395780057914e-05 -2.330507089737596707e-05
-6.280639425926483455e+01 2.564609160157291308e-05 -2.418299670799369625e-05
-6.194239425926525655e+01 2.612853316183576076e-05 -2.504103504228460169e-05
-6.107839425926567856e+01 2.664161373616381689e-05 -2.588344243520227412e-05
-6.021439425926610056e+01 2.718109666275710988e-05 -2.671344432145337529e-05
-5.935039425926652257e+01 2.774350242079643575e-05 -2.753346296491758467e-05
-5.848639425926694457e+01 2.832593266604255562e-05 -2.834530940651280130e-05
-5.762239425926736658e+01 2.892592759639107770e-05 -2.915035417291358244e-05
-5.675839425926778858e+01 2.954137578552945098e-05 -2.994962489262701743e-05
-5.589439425926821059e+01 3.017046115794825152e-05 -3.074386222476659434e-05
-5.503039425926863260e+01 3.081159429912484554e-05 -3.153357897089261569e-05
-5.416639425926905460e+01 3.146334254323414088e-05 -3.231911330668764767e-05
-5.330239425926947661e+01 3.212440531627886408e-05 -3.310065092547800642e-05
-5.243839425926989861e+01 3.279360939378264428e-05 -3.387824583528015513e-05
-5.157439425927032062e+01 3.346986854918258185e-05 -3.465184988214715196e-05
-5.071039425927074262e+01 3.415214274066496488e-05 -3.542133082303617985e-05
-4.984639425927116463e+01 3.483943054831012837e-05 -3.618646354841796863e-05
-4.898239425927158663e+01 3.553077668496944539e-05 -3.694693720662593355e-05
-4.811839425927200864e+01 3.622527961427704436e-05 -3.770239898232069850e-05
-4.725439425927243065e+01 3.692207106775925859e-05 -3.845246483968063324e-05
-4.639039425927285265e+01 3.762020334267423725e-05 -3.919661046411620353e-05
-4.552639425927327466e+01 3.831856756570952663e-05 -3.993409344434278635e-05
-4.466239425927369666e+01 3.901611241005916673e-05 -4.066418363528258740e-05
-4.379839425927411867e+01 3.971223167668121184e-05 -4.138654104558143115e-05
-4.293439425927454067e+01 4.040660808484380960e-05 -4.210103656063868087e-05
-4.207039425927496268e+01 4.109818914915547728e-05 -4.280677251890228522e-05
-4.120639425927538468e+01 4.178426293533372146e-05 -4.350126239047869122e-05
-4.034239425927580669e+01 4.246098558741254235e-05 -4.418094583869051862e-05
-3.947839425927622869e+01 4.312514850757799805e-05 -4.484275980877714280e-05
-3.861439425927665070e+01 4.377541749543720857e-05 -4.548525153794376959e-05
-3.775039425927707271e+01 4.441198161530277369e-05 -4.610842400216773980e-05
-3.688639425927749471e+01 4.503554091329584899e-05 -4.671303815032415224e-05
-3.602239425927791672e+01 4.564703297441628001e-05 -4.730034460794112542e-05
-3.515839425927833872e+01 4.624778756589865210e-05 -4.787186962359425490e-05
-3.429439425927876073e+01 4.683839449717364448e-05 -4.842784774247345126e-05
-3.343039425927918273e+01 4.741642474856920373e-05 -4.896505563380823897e-05
-3.256639425927960474e+01 4.797628625127919335e-05 -4.947762495885562917e-05
-3.170239425928002674e+01 4.851260352449857121e-05 -4.996085878682658715e-05
-3.083839425928044875e+01 4.902233516438824683e-05 -5.041208875098697185e-05
-2.997439425928087076e+01 4.950153545187839206e-05 -5.082665834991938430e-05
-2.911039425928129276e+01 4.994214954031987573e-05 -5.119595618412657405e-05
-2.824639425928171477e+01 5.033581426224290994e-05 -5.151114873354748668e-05
